Mosque_ID,Name,Street,City,State,ZCTA,Latitude,Longitude,Urbanization_Cat,Year_Est,Status,Source,Transit_score,Walk_score ,NND,NRI,Reference_ID
66,Islamic Center of North Phoenix,13246 N 23Rd ave,Phoenix,AZ,85020,,,,2010,,https://www.visualizingimmigrantphoenix.com/patrick-ingham/bosnian-mosque/,,,,,1308
67,Muhammad Mosque #32,4444 S 3rd St,Phoenix,AZ,85040,,,,2003,,https://www.manta.com/c/mml2xp1/muhammad-mosque-32,,,,,2268
68,Masjid Jauharatul Islam,102 W South Mountain Ave,Phoenix,AZ,85041,,,,1981,,https://www.masjidjauharatulislam.com/history-of-jauharatul-islam,,,,,1903
69,Arizona Cultural Academy (ACA) Masjid,7810 S 42nd Pl #7300,Phoenix,AZ,85042,,,,1996,,https://www.azacademy.org/,,,,,2271
70,Islamic Center of Greater Phoenix (Masjid Bilal),8016 S 12th St,Phoenix,AZ,85042,,,,1982,,https://en.wikipedia.org/wiki/Islamic_Community_Center_of_Phoenix,,,,,2270
71,Islamic Community Center of Phoenix,7516 N Black Canyon Hwy,Phoenix,AZ,85051,,,,1997,,https://www.archnet.org/sites/10420,,,,,87
72,Islamic Community Center of Phoenix (ICCP),2515 W Orangewood Ave,Phoenix,AZ,85051,,,,1982,,https://en.wikipedia.org/wiki/Islamic_Community_Center_of_Phoenix,,,,,2264
73,Islamic Community Center of Phoenix Secondary,7362 North Black Canyon Highway,Phoenix,AZ,85051,,,,2004,,https://www.archnet.org/sites/10420,,,,,754
74,Masjid Bilal Bin Rabah,44370 E Cesar Chavez Ln,Maricopa,AZ,85138,,,,2010,,https://www.pinalcentral.com/maricopa_monitor/religion/religion_news/maricopa-mosque-serves-as-hub-for-area-muslims/article_e5cebfc1-e362-5959-aa4a-38d3eba23ade.html,,,,,1844
75,Masjid Al Noor,55 North Matlock Street,Mesa,AZ,85203,,,,1998,,https://www.masjidnoormesa.com/,,,,,741
76,Islamic Education Foundation of Arizona (IEFAZ),2434 E Southern Ave,Mesa,AZ,85204,,,,1980,,https://prayersconnect.com/mosques/84045142-islamic-education-foundation-of-arizona-mesa-arizona-united-states,,,,,2274
77,"Ahmadiyya Muslim Community, Tucson Arizona",250 W Speedway Blvd,Tuscon,AZ,85205,,,,1982,,https://tucson.com/news/article_f6f301cb-0eb9-5399-91fd-c3b92757baf5.html,,,,,2724
78,Gilbert Mussalla,5635 East Baseline Road,Mesa,AZ,85206,,,,2013,,https://prayersconnect.com/mosques/84066017-gilbert-musallah-gilbert-arizona-united-states,,,,,757
79,East Mesa Mosque,1017 S 88th St,Mesa,AZ,85208,,,,-,No Basic Information,,,,,,2718
80,Bait-ul-Aman Mosque,2035 West Elliot Road,Chandler,AZ,85224,,,,-,Information Without Year,(480) 634-8506,,,,,640
81,es Salaam Mosque,1071 N Alma School rd,Chandler,AZ,85224,,,,1993,,https://prayersconnect.com/mosques/84024224-masjid-es-salaam-chandler-arizona-united-states,,,,,168
82,Islamic Center of East Valley,425 N Alma School Road,Chandler,AZ,85224,,,,2008,,https://eventseeker.com/venue/875784-islamic-center-of-the-east-valley-chandler,,,,,50
83,Islamic Center of the East Valley (ICEV),425 N Alma School Rd,Chandler,AZ,85224,,,,2010,,https://www.eastvalleytribune.com/news/after-12-years-chandler-mosque-prepares-to-open/article_6ed031a4-ce5e-5634-be45-cb51bbbb77bc.html,,,,,2266
84,Masjid Al Mustafa,24038 South Val Vista Drive,Chandler,AZ,85249,,,,2014,,"https://www.causeiq.com/organizations/al-mustafa-foundation,453664496/",,,,,738
85,Islamic Center of North East Valley (ICNEV),12125 E Via Linda,Scottsdale,AZ,85259,,,,1998,,https://islamcenter.com/about,,,,,1306
