Mosque_ID,Name,Street,City,State,ZCTA,Latitude,Longitude,Urbanization_Cat,Year_Est,Status,Source,Transit_score,Walk_score,NND,NRI,Reference_ID,geocode_method
3162,Masjid Muqbil Bin Haadee,297 Lyell ave,Rochester,NY,14608,43.164574933359,-77.632704222974,,-,No Basic Information,https://prayersconnect.com/mosques/84015523-masjid-muqbil-haadee-al-wadee-rochester-new-york-united-states,46,82,,,1922.0,census_geocoder
3163,Baitul Naseer Mosque,1609 East Main Street,Rochester,NY,14609,43.15989472086,-77.567815837917,,2026,,https://rochesterbeacon.com/2026/03/10/love-for-all-hatred-for-none-a-history-of-rochesters-ahmadiyya-mosque/,38,74,,,786.0,census_geocoder
3164,Hamidiye Education Center,853 Culver Road,Rochester,NY,14609,43.160690378368,-77.565831713024,,,,,39,76,,,3629.0,census_geocoder
3165,Hamidye Mosque,853 Culver Rd,Rochester,NY,14609,43.160690378368,-77.565831713024,,1997,,"https://hamidiye.org/who-we-are/#:~:text=Generations%20Rising%20With%20The%20Quran,leaders%20grounded%20in%20Islamic%20values.",39,76,,,1120.0,census_geocoder
3166,Masjid As-Sunnah,494 N Goodman St,Rochester,NY,14609,43.162222428594,-77.583431602154,,2004,,https://themasjidapp.org/masjidsunnahny,47,80,,,275.0,census_geocoder
3167,Al Rasol Al Azam Mosque,638 Brown Street,Rochester,NY,14611,43.153127993568,-77.632254025137,,,,,49,73,,,3632.0,census_geocoder
3168,Islamic Association - Al Sabur Mosque,4550 Lake Avenue,Rochester,NY,14612,43.253831806578,-77.611749096684,,,,,32,56,,,3628.0,census_geocoder
3169,Bantu Islamic Center Inc,534 Dewey Avenue,Rochester,NY,14613,43.174157007337,-77.639375201379,,,,,39,67,,,3631.0,census_geocoder
3170,Dewey St Mosque,2692 Dewey Avenue,Rochester,NY,14616,43.218102457998,-77.641212744221,,,,,37,67,,,3630.0,census_geocoder
3171,Islamic Center of Rochester,727 Westfall,Rochester,NY,14620,43.115061978394,-77.603907422088,,1985,,https://www.archnet.org/sites/10607,32,30,,,73.0,census_geocoder
3172,Turkish Society of Rochester,677 Beahan rd,Rochester,NY,14624,43.121418587715,-77.684895960261,,1969,,https://www.tsor.org/about-us,,8,,,2213.0,census_geocoder
3173,Turkish Society of Rochester,677 Beahan Road,Rochester,NY,14624,43.121418587715,-77.684895960261,,,,,,9,,,3626.0,census_geocoder
3174,Jamestown Islamic Society,1235 N Main st,Jamestown,NY,14701,42.113326357703,-79.240856649214,,1986,,https://www.jiswny.org/who-we-are,,54,,,1506.0,census_geocoder
3175,Islamic Society of Southern Tier,3335 Buffalo rd,Allegany,NY,14706,42.103048565111,-78.483068650287,,-,No Basic Information,(716) 373-6263,,0,,,1486.0,census_geocoder
3176,Islamic Assoc. of Finger Lakes,62 Main St,Big Flats,NY,14814,42.134615219819,-76.93792434817,,2012,,https://iaflcenter.org/about/,,30,,,1172.0,census_geocoder
3177,Islamic Association of The Finger Lakes,499 Hickory Grove Road,Horseheads,NY,14845,42.168938980963,-76.866300955151,,,,,,11,,,3890.0,census_geocoder
3178,Al-Huda Islamic Center,10 Cayuga Vista Drive,Lansing,NY,14882,42.533451868071,-76.499319789249,,,,,,26,,,3922.0,census_geocoder
3179,Al-Bukhaari Mosque,3441 North Waggoner Road,Jefferson Township,OH,43004,40.023775062628,-82.789338920597,,,,,,1,,,3100.0,census_geocoder
3180,"Ibrahim Community Center, Delaware OH",1964 Marysville Road,Delaware,OH,43015,40.300708,-83.0923748,,,,,,30,,,3107.0,nominatim
3181,Industrial Engravers Inc.,1964 Marysville Road,Delaware,OH,43015,40.300708,-83.0923748,,,,,,30,,,3106.0,nominatim
3182,Noor Islamic Cultural Center,5001 Wilcox rd,Dublin,OH,43016,40.065253282359,-83.148728980425,,2006,,"https://www.noorohio.org/about-nicc/#:~:text=The%20Noor%20Islamic%20Cultural%20Center%20(NICC)%20is,family%20values,%20high%20morals,%20and%20good%20citizenship.",,6,,,2119.0,census_geocoder
3183,Noor Islamic Cultural Center,5001 Wilcox Road,Dublin,OH,43016,40.065253282359,-83.148728980425,,,,http://aaicohio.org/,,11,,,2873.0,census_geocoder
3184,Noor Ohio,5550 Britton Parkway,Dublin ,OH,43016,,,,,,,,10,,,3104.0,
3185,Noor Islamic Cultural Center - Plain City,6543 Commerce Parkway,Dublin,OH,43017,40.103539779641,-83.141015782981,,,,,,28,,,3105.0,census_geocoder
